157.245.176.143 
217.154.235.150
209.38.70.156
159.65.125.71
162.216.149.67   #bad IP USA
89.251.0.95	    # CastleRAT  malware
193.24.211.84  	# CastleRAT  malware
91.215.85.6    	# CastleRAT  malware
194.180.191.13	# CastleRAT  malware
94.26.90.106	  # CastleRAT  malware
194.76.227.242	# CastleRAT  malware
94.26.90.161	  # CastleRAT  malware
212.34.147.218	# CastleRAT  malware
94.26.90.163	  # CastleRAT  malware
23.94.145.120	  # CastleRAT  malware
94.26.90.64    	# CastleRAT  malware
23.94.252.73	  # CastleRAT  malware
87.106.76.212   # NetWire  malware
134.19.176.119  # NetWire  malware
188.166.230.26 # NetWire  malware
45.64.53.236   # NetWire  malware
62.234.24.30   # NetWire  malware
185.244.31.215 # NetWire  malware
185.163.100.31 # NetWire  malware
194.5.98.183   # NetWire  malware
167.179.102.70 # NetWire  malware
185.121.166.105 # NetWire  malware
79.134.225.73   # NetWire  malware
46.148.114.177 # BlueFox Stealer malware
94.131.107.223 # BlueFox Stealer malware
193.106.191.130 # BlueFox Stealer malware
31.41.244.152 # BlueFox Stealer malware
45.8.147.31 # BlueFox Stealer malware
45.8.147.200 # BlueFox Stealer malware
87.248.202.1 # BlueFox Stealer malware
45.8.147.121 # BlueFox Stealer malware
212.118.39.120 # BlueFox Stealer malware
45.133.216.192 # BlueFox Stealer malware
45.8.147.133 # BlueFox Stealer malware
45.89.54.50 # BlueFox Stealer malware
91.241.19.49 # BlueFox Stealer malware
79.137.198.63 # BlueFox Stealer malware
160.119.76.50 # INCIDENT TAQA_47792

